==== bench-matrix run 2026-05-03T03:50:10+00:00 RUNS=3 FRAMES=240 ====
rule: no -flto in a_flags; LDFLAGS=-fno-lto for all.so
P2C_gcc-16_fipacpclone                             size=3686520 best=102.56422059680537 median=100.56372223464169 mean=101.050 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fipa-cp-clone
P2C_gcc-16_fipaptafipacpclone                      size=3686520 best=102.505129726364 median=102.05257201253299 mean=102.143 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fipa-pta\ -fipa-cp-clone
P2C_gcc-16_funrollloopsfipapta                     size=4259960 best=99.4954838230025 median=99.12476795687661 mean=99.131 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-pta
P2C_gcc-16_funrollloopsfipacpclone                 size=4259960 best=100.26855371818296 median=99.43082260054574 mean=99.396 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-cp-clone
P2C_gcc-16_funrollloopsfipaptafipacp               size=4259960 best=100.24820115821062 median=99.3012458159619 mean=99.493 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-pta\ -fipa-cp-clone
P2C_gcc-16_fnostackprotector                       size=3686520 best=102.65660816609845 median=102.27053079043793 mean=101.615 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fno-stack-protector
P2C_gcc-16_funrollloopsfnostackprote               size=4259960 best=99.58180841863168 median=97.49914796275955 mean=98.060 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fno-stack-protector
P2C_gcc-16_fpredictivecommoning                    size=3686520 best=102.44321257063505 median=101.84320932003222 mean=101.853 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fpredictive-commoning
P2C_gcc-16_fnotreevectorize                        size=3674232 best=101.36116441647587 median=100.98784852533207 mean=101.091 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-O2\ -march=native\ -fno-tree-vectorize
P2C_gcc-16_Ofastmarchnative                        size=4219416 best=100.20237872479197 median=98.78208385337176 mean=99.082 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-16 k=-O3 a=-Ofast\ -march=native
P4_gcc-13_x_gcc-16                                 size=4219416 best=97.78056799905987 median=97.65941843243381 mean=96.996 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/gcc-16 k=-O3 a=-O3\ -march=native
P4_gcc-13_x_clang-21                               size=3911040 best=93.14231140499584 median=92.43267931184023 mean=92.029 k_cc=/usr/bin/gcc-13 a_cc=/usr/bin/clang-21 k=-O3 a=-O3\ -march=native
P4_gcc-16_x_gcc-13                                 size=3883256 best=100.11868846588669 median=99.49377674219453 mean=99.641 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/gcc-13 k=-O3 a=-O3\ -march=native
P4_gcc-16_x_clang-21                               size=3911040 best=94.38637359467995 median=93.33395708320764 mean=93.479 k_cc=/usr/bin/gcc-16 a_cc=/usr/bin/clang-21 k=-O3 a=-O3\ -march=native
P4_clang-21_x_gcc-13                               size=3883256 best=98.94808838214608 median=98.65690355143126 mean=98.670 k_cc=/usr/bin/clang-21 a_cc=/usr/bin/gcc-13 k=-O3 a=-O3\ -march=native
P4_clang-21_x_gcc-16                               size=4219416 best=99.41213518798253 median=97.26516301019379 mean=97.290 k_cc=/usr/bin/clang-21 a_cc=/usr/bin/gcc-16 k=-O3 a=-O3\ -march=native
P7_baseline                                        size=3575872 best=103.51914957815383 median=102.79558297060566 mean=102.912 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ 
P7_funrollloops                                    size=4153408 best=101.97303779704833 median=101.00065726439759 mean=100.593 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -funroll-loops
P7_fipapta                                         size=3575872 best=102.89491765041325 median=102.57024976328593 mean=102.671 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fipa-pta
P7_fipacpclone                                     size=3575872 best=103.3266758107751 median=102.836258273653 mean=102.896 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fipa-cp-clone
P7_fnotreevectorize                                size=3567680 best=103.70928711912683 median=103.27467230127381 mean=103.003 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fno-tree-vectorize
P7_fnostackprotector                               size=3575872 best=103.77258905698837 median=102.67274728452745 mean=102.874 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -fno-stack-protector
P7_parammaxinlineinsnsauto300                      size=3575872 best=103.32556308490251 median=103.05114520865891 mean=103.015 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ --param=max-inline-insns-auto=300
P7_paraminlineminspeedup5                          size=3602416 best=102.64469881226016 median=102.28228134513563 mean=102.314 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ --param=inline-min-speedup=5
P7_paraminlineunitgrowth30                         size=3575872 best=103.55050042359154 median=102.76537864671114 mean=102.777 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ --param=inline-unit-growth=30
P7_funrollloopsfipapta                             size=4153408 best=101.39698115378647 median=99.97556596925699 mean=100.315 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-pta
P7_funrollloopsfipacpclonefipapta                  size=4153408 best=102.49927862716292 median=102.2280501149678 mean=101.723 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-cp-clone\ -fipa-pta
P7_funrollloopsfnostackprotector                   size=4153408 best=101.90764890074462 median=101.13937097019566 mean=101.354 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fno-stack-protector
P7_funrollloopsfipacpclonefipapta                  size=4153408 best=101.75378642693684 median=100.96439282077405 mean=101.189 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -funroll-loops\ -fipa-cp-clone\ -fipa-pta\ -fno-stack-protector
P8_link_baseline                                   size=3575872 best=103.15459711385397 median=103.02071149631405 mean=102.599 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ 
P8_link_-Wl-O3                                     size=3575872 best=103.32817528390989 median=103.11040321699225 mean=103.019 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -Wl\,-O3
P8_link_-Wl--gc-sections                           size=3575872 best=104.22338034619204 median=102.89097455698037 mean=103.022 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -Wl\,--gc-sections
P8_link_-Wl-O3--gc-sections                        size=3575872 best=102.43069869427788 median=102.10359382326402 mean=102.144 k_cc=/usr/bin/gcc-15 a_cc=/usr/bin/gcc-15 k=-O3 a=-O2\ -march=native\ -Wl\,-O3\,--gc-sections
