## libgc baseline
mark_compact	json_parse	FAIL	FAIL
mark_compact	chain_add	1.20	2432
## mark_compact_gen
mark_compact_gen	fib	6.80	2432
mark_compact_gen	fib_pair	0.87	35072
mark_compact_gen	fannkuch	0.71	35072
mark_compact_gen	ackermann	7.09	8576
mark_compact_gen	binary_trees	1.96	280832
mark_compact_gen	gc_combined	0.80	35712
mark_compact_gen	hash_chain	1.33	16000
mark_compact_gen	list_alloc	0.74	35072
mark_compact_gen	json_parse	0.99	35328
mark_compact_gen	chain_add	1.38	2432
## bump
bump	fib	6.88	2432
bump	fib_pair	1.10	628992
bump	fannkuch	0.73	87936
bump	ackermann	7.10	8448
bump	binary_trees	0.63	264576
bump	gc_combined	1.28	784000
bump	hash_chain	1.47	14080
bump	list_alloc	1.28	783616
bump	json_parse	1.81	966784
bump	chain_add	1.26	2432
## mark_bump_gen
mark_bump_gen	fib	6.81	2432
mark_bump_gen	fib_pair	0.88	24192
mark_bump_gen	fannkuch	0.71	31744
mark_bump_gen	ackermann	7.21	8448
mark_bump_gen	binary_trees	0.79	264960
mark_bump_gen	gc_combined	0.82	27520
mark_bump_gen	hash_chain	1.15	20864
mark_bump_gen	list_alloc	0.78	27008
mark_bump_gen	json_parse	0.92	24448
mark_bump_gen	chain_add	1.14	2432
## immix
immix	fib	6.76	2432
immix	fib_pair	0.82	18944
immix	fannkuch	0.70	19072
immix	ackermann	7.09	8576
immix	binary_trees	0.57	199936
immix	gc_combined	0.75	19200
immix	hash_chain	1.26	13696
immix	list_alloc	0.69	18816
immix	json_parse	0.96	18944
immix	chain_add	1.13	2432
## immix_gen
immix_gen	fib	6.82	2432
immix_gen	fib_pair	0.79	35200
immix_gen	fannkuch	0.74	35200
immix_gen	ackermann	7.74	8320
immix_gen	binary_trees	1.17	233216
immix_gen	gc_combined	0.72	36096
immix_gen	hash_chain	1.12	13696
immix_gen	list_alloc	0.67	35200
immix_gen	json_parse	0.92	35200
immix_gen	chain_add	1.26	2432
## mark_bitmap_gen
mark_bitmap_gen	fib	7.03	2432
mark_bitmap_gen	fib_pair	0.99	24448
mark_bitmap_gen	fannkuch	0.82	31744
mark_bitmap_gen	ackermann	7.18	8448
mark_bitmap_gen	binary_trees	0.63	264448
mark_bitmap_gen	gc_combined	1.29	784000
mark_bitmap_gen	hash_chain	1.41	14080
mark_bitmap_gen	list_alloc	1.25	783616
mark_bitmap_gen	json_parse	1.79	966912
mark_bitmap_gen	chain_add	1.25	2432
## mark_card_gen
mark_card_gen	fib	6.49	2432
mark_card_gen	fib_pair	0.89	24448
mark_card_gen	fannkuch	0.71	31744
mark_card_gen	ackermann	6.39	8448
mark_card_gen	binary_trees	1.28	273792
mark_card_gen	gc_combined	0.82	27972
mark_card_gen	hash_chain	1.13	20864
mark_card_gen	list_alloc	0.77	27264
mark_card_gen	json_parse	0.93	24704
mark_card_gen	chain_add	1.08	2560
## mark_freelist
mark_freelist	fib	6.09	2432
mark_freelist	fib_pair	0.75	24192
mark_freelist	fannkuch	0.65	31232
mark_freelist	ackermann	6.33	8448
mark_freelist	binary_trees	0.72	264448
mark_freelist	gc_combined	0.69	27392
mark_freelist	hash_chain	1.19	19840
mark_freelist	list_alloc	0.68	27008
mark_freelist	json_parse	0.87	24320
mark_freelist	chain_add	1.04	2432
